Name,Document,Link,Record1,Record2,Record4,Valid_Until,modified,Created,Modified,_id
Subaru,test_txt2.txt,,0.157498,480,,1995,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a4
Daihatsu,test_txt.txt,https://ivl.se,0.050793,,,2016,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a5
Mitsubishi,"[test_txt.txt, test_txt2.txt]",,0.656508,140,,2010,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a6
Nissan,test_pdf.pdf,https://bbc.com,0.583854,,,2013,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a7
Suzuki,test_xlsx.xlsx,https://ivl.se,0.044684,,,1992,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a8
Subaru,"[test_txt.txt, test_txt2.txt]",,0.884746,591,,2043,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5a9
Nissan,ivl_logo.svg,,0.973129,221,,2001,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5aa
Toyota,None,,0.593542,357,,2028,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5ab
Daihatsu,ivl_logo.svg,,0.209981,332,,2022,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5ac
Nissan,test_pdf.pdf,,0.932022,744,,2010,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5ad
Daihatsu,test_pptx.pptx,,0.777977,711,,1995,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5ae
Nissan,test_pptx.pptx,,0.679423,231,,2010,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5af
Subaru,test_xlsx.xlsx,https://www.svt.se,0.413047,,,1989,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b0
Subaru,None,"[https://bbc.com, https://svt.se]",0.651173,,,1989,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b1
Mitsubishi,None,https://ivl.se,0.945278,,,2040,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b2
Honda,"[test_pptx.pptx, test_xlsx.xlsx]",,0.00816,0.0001,Honda Record3 updated!,2037,2023-07-19 12:06,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b3
Toyota,test_xlsx.xlsx,,0.83363,489,,2019,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b4
Mazda,test_doc.docx,,0.943552,677,,2043,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b5
Toyota,"[test_pptx.pptx, test_xlsx.xlsx]",,0.439032,435,,2043,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b6
Suzuki,None,https://bbc.com,0.919127,,,2028,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b7
Daihatsu,"[test_txt.txt, test_txt2.txt]","[https://bbc.com, https://svt.se]",0.575075,,,2013,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b8
Daihatsu,test_xlsx.xlsx,,0.168741,238,,2001,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5b9
Mitsubishi,test_pdf.pdf,,0.570263,1000,,2043,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5ba
Mitsubishi,test_pptx.pptx,,0.934357,534,,2025,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5bb
Honda,test_txt.txt,"[https://bbc.com, https://svt.se]",0.838146,0.0001,Honda Record3 updated!,1995,2023-07-19 12:06,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5bc
Toyota,test_doc.docx,,0.701874,488,,2004,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5bd
Mazda,test_pdf.pdf,https://www.svt.se,0.547737,,,2004,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5be
Subaru,test_doc.docx,https://bbc.com,0.114453,,,2040,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5bf
Mitsubishi,test_txt2.txt,https://bbc.com,0.124748,,,2031,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c0
Suzuki,test_pptx.pptx,,0.281194,41,,2004,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c1
Toyota,test_pdf.pdf,,0.794928,674,,2019,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c2
Daihatsu,test_pptx.pptx,,0.752139,899,,2040,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c3
Subaru,ivl_logo.svg,https://ivl.se,0.347674,,,2028,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c4
Nissan,ivl_logo.svg,,0.288615,738,,2013,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c5
Suzuki,test_txt.txt,,0.192353,524,,2013,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c6
Nissan,test_xlsx.xlsx,,0.569013,567,,2037,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c7
Toyota,"[test_txt.txt, test_txt2.txt]","[https://bbc.com, https://svt.se]",0.447633,,,2004,NaT,2023-07-19 12:06,NaT,64b7d1d1e0068c7150ffc5c8
